discriminator_type,setting,guidance_strength,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
mlp,balanced,0.5,3,250,62.5,4.0,46,1.0,0.988,3.2089492862935125,2.694059057590999
mlp,balanced,0.5,4,250,62.5,4.0,42,1.0,0.896,3.4967798147665325,2.989036909950717
mlp,balanced,0.5,5,250,62.5,4.0,48,1.0,0.928,3.776867974585842,2.999984052576914
mlp,balanced,0.5,6,250,62.5,4.0,44,1.0,0.984,3.572844791152317,2.773937075957309
mlp,balanced,0.5,7,250,62.5,4.0,45,1.0,0.912,3.860714884873608,3.0441776877956768
mlp,balanced,0.5,8,250,62.5,4.0,16,1.0,1.0,3.031357684567021,2.6641387392790703
mlp,balanced,0.5,9,250,62.5,4.0,41,1.0,0.812,4.016213253563829,3.2421161296320506
mlp,balanced,0.5,10,250,62.5,4.0,41,1.0,0.972,3.4853759433396005,2.9040095165850732
mlp,balanced,0.5,11,250,62.5,4.0,50,1.0,0.996,3.2482921658058723,2.757739609885617
mlp,balanced,0.5,12,250,62.5,4.0,36,1.0,0.956,3.6318674967488764,2.811781730901199
mlp,balanced,0.5,13,250,62.5,4.0,48,1.0,0.936,3.7268379598263186,2.9843183019111654
mlp,balanced,0.5,14,250,62.5,4.0,44,1.0,0.976,3.661273552614491,2.777545193917506
mlp,balanced,0.5,15,250,62.5,4.0,45,1.0,0.96,4.09875466036553,2.881149622610845
mlp,balanced,0.5,16,250,62.5,4.0,31,1.0,0.968,3.119861188048201,2.820611800464697
mlp,balanced,0.5,17,250,62.5,4.0,24,1.0,0.992,3.4525053755507873,2.6784701968310864
mlp,balanced,0.5,18,250,62.5,4.0,21,1.0,0.996,3.1484334117971216,2.6952279524005895
mlp,balanced,0.5,19,250,62.5,4.0,49,1.0,0.868,3.879866238218645,3.0923280144642744
mlp,balanced,0.5,20,250,62.5,4.0,47,1.0,0.944,4.284289475529161,3.052273530415275
mlp,balanced,0.5,21,250,62.5,4.0,21,1.0,0.992,3.259662529576927,2.7335835107108215
mlp,balanced,0.5,22,250,62.5,4.0,36,1.0,0.988,3.3535070953363135,2.783945139675619
mlp,balanced,0.5,23,250,62.5,4.0,38,1.0,0.988,3.375335070428731,2.8377839290016
mlp,balanced,0.5,24,250,62.5,4.0,49,1.0,0.972,3.4014902508180587,2.8346870013243137
mlp,balanced,0.5,25,250,62.5,4.0,41,1.0,0.976,3.3895425678670055,2.8671003682440914
mlp,balanced,0.5,26,250,62.5,4.0,18,1.0,0.948,3.3101228375493834,2.8970387050061457
mlp,balanced,0.5,27,250,62.5,4.0,49,1.0,0.936,3.5017349727566085,2.949585279211111
mlp,balanced,0.5,28,250,62.5,4.0,42,1.0,0.988,3.2462706408397515,2.756660764046496
mlp,balanced,0.5,29,250,62.5,4.0,52,1.0,0.832,3.8802394316493096,3.2206504985340936
mlp,balanced,0.5,30,250,62.5,4.0,50,1.0,0.98,3.340471953715171,2.784628897513052
mlp,creative,0.5,1,250,62.5,4.0,52,1.0,0.888,4.403563912636651,3.1865140039268587
mlp,creative,0.5,2,250,62.5,4.0,44,1.0,0.92,4.184561245643124,3.0916276533724103
mlp,creative,0.5,3,250,62.5,4.0,51,1.0,0.916,4.286504679156822,3.049523888798261
mlp,creative,0.5,4,250,62.5,4.0,47,1.0,0.948,3.9378177168737563,2.9358234485034327
mlp,creative,0.5,5,250,62.5,4.0,52,1.0,0.896,4.651763156205556,3.191291523566709
mlp,creative,0.5,6,250,62.5,4.0,50,1.0,0.94,4.122533476458225,3.026070029657519
mlp,creative,0.5,7,250,62.5,4.0,48,1.0,0.928,3.9195542013042934,3.040913966160947
mlp,creative,0.5,8,250,62.5,4.0,50,1.0,0.868,4.366206581855016,3.1481719679197466
mlp,creative,0.5,9,250,62.5,4.0,52,1.0,0.78,4.424041464695201,3.251121875942635
mlp,creative,0.5,10,250,62.5,4.0,51,1.0,0.896,4.192318876983344,3.0663680246088516
mlp,creative,0.5,11,250,62.5,4.0,49,1.0,0.908,4.80436560097823,3.130980277669023
mlp,creative,0.5,12,250,62.5,4.0,50,1.0,0.876,4.691656807353264,3.251637922342983
mlp,creative,0.5,13,250,62.5,4.0,48,1.0,0.96,3.8901437234749032,2.96179464253784
mlp,creative,0.5,14,250,62.5,4.0,51,1.0,0.908,4.488504285214144,3.1483578992403416
